timestamp,temp,hum,state
2026-04-28 11:33:52,25.43,49.4,RUNNING
2026-04-28 11:33:53,22.3,56.57,RUNNING
2026-04-28 11:33:54,27.29,51.25,RUNNING
2026-04-28 11:33:55,21.92,43.91,RUNNING
2026-04-28 11:33:56,27.82,57.38,RUNNING
2026-04-28 11:33:57,22.8,44.7,RUNNING
2026-04-28 11:33:58,21.46,48.56,RUNNING
2026-04-28 11:33:59,21.84,49.77,RUNNING
2026-04-28 11:34:00,21.46,44.0,RUNNING
2026-04-28 11:34:01,21.4,52.21,RUNNING
2026-04-28 11:34:02,25.76,44.05,RUNNING
2026-04-28 11:34:03,21.19,59.47,RUNNING
2026-04-28 11:34:04,21.68,51.07,RUNNING
2026-04-28 11:34:05,29.97,59.94,RUNNING
2026-04-28 11:34:06,25.31,47.94,RUNNING
2026-04-28 11:34:07,27.76,52.78,RUNNING
2026-04-28 11:34:08,23.03,45.57,RUNNING
2026-04-28 11:34:09,28.69,55.05,RUNNING
2026-04-28 11:34:10,26.84,44.89,RUNNING
2026-04-28 11:34:11,25.78,40.43,RUNNING
2026-04-28 11:34:12,29.03,51.63,RUNNING
2026-04-28 11:34:13,26.87,53.54,RUNNING
2026-04-28 11:34:14,27.11,40.48,RUNNING
2026-04-28 11:34:15,25.75,49.18,RUNNING
2026-04-28 11:34:16,20.39,46.02,RUNNING
2026-04-28 11:34:17,24.15,53.88,RUNNING
2026-04-28 11:34:18,26.59,43.27,RUNNING
2026-04-28 11:34:19,22.74,50.28,RUNNING
2026-04-28 11:34:20,29.43,43.73,RUNNING
2026-04-28 11:34:21,23.54,44.14,RUNNING
2026-04-28 11:34:22,25.31,56.41,RUNNING
2026-04-28 11:34:23,26.55,56.39,RUNNING
2026-04-28 11:34:24,21.67,56.61,RUNNING
2026-04-28 11:34:25,25.54,53.47,RUNNING
2026-04-28 11:34:26,25.28,50.72,RUNNING
2026-04-28 11:34:27,24.35,46.59,RUNNING
2026-04-28 11:34:28,25.08,40.9,RUNNING
2026-04-28 11:34:29,26.85,54.06,RUNNING
2026-04-28 11:34:30,22.16,40.13,RUNNING
2026-04-28 11:34:31,27.32,59.72,RUNNING
2026-04-28 11:34:32,27.22,42.6,RUNNING
2026-04-28 11:34:33,26.39,45.67,RUNNING
2026-04-28 11:34:34,22.25,48.99,RUNNING
2026-04-28 11:34:35,20.16,54.18,RUNNING
2026-04-28 11:34:36,27.8,42.78,RUNNING
2026-04-28 11:34:37,22.04,56.27,RUNNING
2026-04-28 11:34:38,28.42,45.15,RUNNING
2026-04-28 11:34:39,26.03,52.28,RUNNING
2026-04-28 11:34:40,26.54,54.51,RUNNING
2026-04-28 11:34:41,28.35,56.32,RUNNING
2026-04-28 11:34:42,29.67,54.25,RUNNING
2026-04-28 11:34:43,27.67,49.0,RUNNING
2026-04-28 11:34:44,24.2,58.37,RUNNING
2026-04-28 11:34:45,29.12,50.54,RUNNING
2026-04-28 11:34:46,27.39,41.33,RUNNING
2026-04-28 11:34:47,28.77,57.43,RUNNING
2026-04-28 11:34:48,22.11,55.23,RUNNING
2026-04-28 11:34:49,20.69,58.48,RUNNING
2026-04-28 11:34:50,20.42,51.26,RUNNING
2026-04-28 11:34:51,21.61,57.47,RUNNING
2026-04-28 11:34:52,22.83,43.86,RUNNING
2026-04-28 11:34:53,23.02,40.47,RUNNING
2026-04-28 11:34:54,27.73,53.35,RUNNING
2026-04-28 11:34:55,26.37,54.12,RUNNING
2026-04-28 11:34:56,25.53,44.48,RUNNING
2026-04-28 11:34:57,26.43,41.12,RUNNING
2026-04-28 11:34:58,22.19,49.54,RUNNING
2026-04-28 11:34:59,29.29,59.83,RUNNING
2026-04-28 11:35:00,25.54,57.86,RUNNING
2026-04-28 11:35:01,21.45,45.11,RUNNING
2026-04-28 11:35:02,24.17,40.07,RUNNING
2026-04-28 11:35:03,27.68,41.7,RUNNING
2026-04-28 11:35:04,29.31,46.98,RUNNING
2026-04-28 11:35:05,29.67,42.79,RUNNING
2026-04-28 11:35:06,20.97,46.28,RUNNING
2026-04-28 11:35:07,29.4,49.03,RUNNING
2026-04-28 11:35:08,28.26,44.23,RUNNING
2026-04-28 11:35:09,20.24,47.39,RUNNING
2026-04-28 11:35:10,29.75,50.79,RUNNING
2026-04-28 11:35:11,20.21,49.71,RUNNING
2026-04-28 11:35:12,27.51,57.63,RUNNING
2026-04-28 11:35:13,27.48,56.42,RUNNING
2026-04-28 11:35:14,29.74,50.28,RUNNING
2026-04-28 11:35:15,24.56,53.41,RUNNING
2026-04-28 11:35:16,24.89,53.35,RUNNING
2026-04-28 11:35:17,22.36,44.89,RUNNING
2026-04-28 11:35:18,29.03,45.47,RUNNING
2026-04-28 11:35:19,28.25,56.7,RUNNING
2026-04-28 11:35:20,23.46,57.58,RUNNING
2026-04-28 11:35:21,21.24,53.75,RUNNING
2026-04-28 11:35:22,26.62,57.23,RUNNING
2026-04-28 11:35:23,25.45,40.18,RUNNING
2026-04-28 11:35:24,28.44,59.48,RUNNING
2026-04-28 11:35:25,29.95,42.89,RUNNING
2026-04-28 11:35:26,20.81,47.07,RUNNING
2026-04-28 11:35:27,22.99,52.12,RUNNING
2026-04-28 11:35:28,27.44,58.89,RUNNING
2026-04-28 11:35:29,23.65,43.72,RUNNING
2026-04-28 11:35:30,25.28,40.83,RUNNING
2026-04-28 11:35:31,29.18,40.58,RUNNING
2026-04-28 11:35:32,22.22,54.01,RUNNING
2026-04-28 11:35:33,22.51,51.54,RUNNING
2026-04-28 11:35:34,27.4,58.29,RUNNING
2026-04-28 11:35:35,21.37,49.07,RUNNING
2026-04-28 11:35:37,25.81,54.87,RUNNING
2026-04-28 11:35:38,26.31,58.53,RUNNING
2026-04-28 11:35:39,24.44,56.63,RUNNING
2026-04-28 11:35:40,25.37,59.55,RUNNING
2026-04-28 11:35:41,28.31,48.11,RUNNING
2026-04-28 11:35:42,26.89,44.53,RUNNING
2026-04-28 11:35:43,24.23,55.07,RUNNING
2026-04-28 11:35:44,25.77,48.35,RUNNING
2026-04-28 11:35:45,25.44,56.19,RUNNING
2026-04-28 11:35:46,27.22,41.25,RUNNING
2026-04-28 11:35:47,21.48,55.99,RUNNING
2026-04-28 11:35:48,23.01,44.99,RUNNING
2026-04-28 11:35:49,25.69,50.48,RUNNING
2026-04-28 11:35:50,26.09,49.64,RUNNING
2026-04-28 11:35:51,27.53,56.95,RUNNING
2026-04-28 11:35:52,28.97,49.27,RUNNING
2026-04-28 11:35:53,27.81,50.71,RUNNING
2026-04-28 11:35:54,22.32,43.14,RUNNING
2026-04-28 11:35:55,22.74,43.39,RUNNING
2026-04-28 11:35:56,24.31,56.31,RUNNING
2026-04-28 11:35:57,22.1,41.67,RUNNING
2026-04-28 11:35:58,28.97,49.11,RUNNING
2026-04-28 11:35:59,24.34,45.18,RUNNING
2026-04-28 11:36:00,22.23,47.67,RUNNING
2026-04-28 11:36:01,27.34,47.08,RUNNING
2026-04-28 11:36:02,26.78,42.32,RUNNING
2026-04-28 11:36:03,25.05,52.49,RUNNING
2026-04-28 11:36:04,27.26,43.88,RUNNING
2026-04-28 11:36:05,28.24,44.44,RUNNING
2026-04-28 11:36:06,25.91,40.67,RUNNING
2026-04-28 11:36:07,24.84,53.14,RUNNING
2026-04-28 11:36:08,20.24,56.81,RUNNING
2026-04-28 11:36:09,25.67,47.09,RUNNING
2026-04-28 11:36:10,29.43,50.13,RUNNING
2026-04-28 11:36:11,26.31,56.07,RUNNING
2026-04-28 11:36:12,22.74,42.82,RUNNING
2026-04-28 11:36:13,25.46,50.63,RUNNING
2026-04-28 11:36:14,23.86,48.1,RUNNING
2026-04-28 11:36:15,24.4,54.07,RUNNING
2026-04-28 11:36:16,20.36,47.14,RUNNING
2026-04-28 11:36:17,22.78,47.84,RUNNING
2026-04-28 11:36:18,27.13,40.76,RUNNING
2026-04-28 11:36:19,26.4,46.88,RUNNING
2026-04-28 11:36:20,21.08,50.81,RUNNING
2026-04-28 11:36:21,27.05,56.92,RUNNING
2026-04-28 11:36:22,24.56,44.12,RUNNING
2026-04-28 11:36:23,21.49,47.26,RUNNING
2026-04-28 11:36:24,29.03,54.73,RUNNING
2026-04-28 11:36:25,25.15,57.78,RUNNING
2026-04-28 11:36:26,25.19,51.32,RUNNING
2026-04-28 11:36:27,21.78,40.45,RUNNING
2026-04-28 11:36:28,20.85,54.8,RUNNING
2026-04-28 11:36:29,24.25,42.35,RUNNING
2026-04-28 11:36:30,25.56,53.47,RUNNING
2026-04-28 11:36:31,26.02,46.49,RUNNING
2026-04-28 11:36:32,29.35,52.64,RUNNING
2026-04-28 11:36:33,28.4,52.21,RUNNING
2026-04-28 11:36:34,23.04,53.29,RUNNING
2026-04-28 11:36:35,28.14,52.9,RUNNING
2026-04-28 11:36:36,23.8,42.8,RUNNING
2026-04-28 11:36:37,23.7,40.08,RUNNING
2026-04-28 11:36:38,20.04,59.51,RUNNING
2026-04-28 11:36:39,23.77,52.72,RUNNING
2026-04-28 11:36:40,27.3,41.15,RUNNING
2026-04-28 11:36:41,25.38,51.47,RUNNING
2026-04-28 11:36:42,23.71,55.5,RUNNING
2026-04-28 11:36:43,27.08,40.58,RUNNING
2026-04-28 11:36:44,22.74,44.85,RUNNING
2026-04-28 11:36:45,25.39,54.42,RUNNING
2026-04-28 11:36:46,28.04,58.05,RUNNING
2026-04-28 11:36:47,27.72,51.08,RUNNING
2026-04-28 11:36:48,24.58,53.51,RUNNING
2026-04-28 11:36:49,20.09,43.68,RUNNING
2026-04-28 11:36:50,25.41,41.73,RUNNING
2026-04-28 11:36:51,27.62,51.01,RUNNING
2026-04-28 11:36:52,26.94,44.23,RUNNING
2026-04-28 11:36:53,25.41,59.82,RUNNING
